Name_of_image,statua,x1,y1,x2,y2,x3,y3,x4,y4,vxx1,vxy1,vxx2,vxy2,vxx3,vxy3,vxx4,vxy4,vyx1,vyy1,vyx2,vyy2,vyx3,vyy3,vyx4,vyy4
color_0000.png,V,536,124,536,214,647,212,760,202,32,-2,34,-1,33,-1,32,-2,-1,-25,-1,-27,-3,-27,-5,-27
color_0001.png,V,540,124,539,213,651,211,764,203,32,-2,33,-1,33,-2,33,-2,-1,-25,-1,-27,-2,-27,-4,-27
color_0002.png,V,541,122,540,211,652,209,765,202,32,-2,34,-1,33,-1,32,-1,-1,-25,0,-27,-2,-27,-4,-27
color_0003.png,V,542,123,541,213,652,212,766,204,32,-1,34,-1,33,-1,33,-2,-1,-25,0,-27,-2,-27,-4,-27
color_0004.png,V,544,126,543,215,654,215,767,207,32,0,33,-1,33,-1,32,-2,-1,-25,-1,-27,-2,-27,-4,-27
color_0005.png,V,548,130,546,219,657,219,770,212,32,0,34,-1,33,-1,33,-1,0,-24,-1,-28,-2,-27,-4,-27
color_0006.png,V,552,132,549,221,660,221,773,214,31,0,33,-1,33,-1,32,-1,0,-24,0,-27,-2,-27,-4,-26
color_0007.png,V,554,131,551,219,662,219,775,213,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-26,-3,-26
color_0008.png,V,555,128,552,217,664,218,776,212,32,-1,34,-1,33,0,32,-1,0,-24,0,-27,-2,-26,-4,-27
color_0009.png,V,556,128,553,217,664,218,777,213,32,0,33,-1,33,-1,33,0,0,-24,0,-27,-1,-27,-3,-26
color_0010.png,V,557,128,554,217,665,218,778,214,32,0,33,-1,33,0,33,0,0,-24,0,-27,-2,-26,-3,-26
color_0011.png,V,558,128,555,216,666,218,778,213,31,0,33,0,32,-1,33,0,0,-24,0,-27,-2,-27,-3,-26
color_0012.png,V,560,128,556,217,667,218,780,214,32,-1,33,-1,33,0,33,0,0,-25,0,-27,-2,-27,-3,-26
color_0013.png,V,561,129,558,218,669,219,782,215,31,0,33,-1,32,0,33,0,0,-24,0,-27,-2,-27,-3,-26
color_0014.png,V,563,129,560,217,671,218,783,214,32,-1,33,0,33,0,32,0,0,-25,0,-27,-2,-26,-4,-26
color_0015.png,V,563,130,560,218,670,219,783,214,31,0,33,0,33,0,32,-1,0,-24,0,-27,-2,-26,-4,-26
color_0016.png,V,563,130,559,219,670,220,783,215,32,0,33,0,32,0,33,-1,0,-24,0,-26,-2,-26,-3,-26
color_0017.png,V,562,130,559,218,670,219,782,214,31,0,34,0,33,-1,33,0,0,-24,1,-27,-1,-27,-3,-26
color_0018.png,V,561,130,557,219,668,220,780,215,31,0,33,0,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-26
color_0019.png,V,560,131,556,220,667,220,780,215,31,0,33,-1,33,0,33,-1,0,-24,0,-27,-1,-26,-3,-27
color_0020.png,V,559,130,557,218,667,219,780,215,31,0,34,0,33,0,33,-1,0,-24,0,-27,-1,-27,-3,-27
color_0021.png,V,559,130,556,219,667,220,779,215,31,0,34,-1,33,-1,33,-1,-1,-24,1,-27,-1,-27,-3,-27
color_0022.png,V,561,131,558,219,668,220,781,216,32,-1,33,0,33,0,32,0,0,-24,0,-27,-2,-26,-4,-26
color_0023.png,V,562,130,558,219,669,220,782,215,31,0,34,-1,33,-1,33,-1,0,-24,1,-27,-1,-27,-3,-26
color_0024.png,V,560,130,557,219,667,220,780,215,31,0,34,0,33,0,33,-1,0,-24,1,-27,-1,-27,-3,-27
color_0025.png,V,560,132,556,220,667,221,779,216,32,0,33,0,33,0,32,-1,0,-24,0,-27,-2,-27,-4,-27
color_0026.png,V,559,132,555,220,665,221,778,216,31,0,33,-1,33,-1,33,-1,0,-24,0,-27,-1,-27,-3,-27
color_0027.png,V,556,131,553,220,664,221,777,216,31,0,33,-1,33,0,33,-1,0,-24,0,-27,-2,-26,-3,-27
color_0028.png,V,557,132,553,221,665,222,777,217,32,0,33,-1,32,-1,33,-1,0,-24,0,-27,-2,-27,-3,-27
color_0029.png,V,556,131,552,219,664,220,777,216,32,0,34,-1,33,-1,32,0,0,-24,1,-27,-1,-27,-4,-26
color_0030.png,V,554,130,551,219,662,220,775,216,32,0,33,-1,33,0,33,0,0,-25,0,-27,-1,-26,-3,-26
color_0031.png,V,555,131,551,219,662,220,776,216,32,-1,33,0,33,-1,32,-1,0,-24,0,-27,-2,-27,-4,-27
color_0032.png,V,555,129,552,218,663,219,775,215,32,0,33,0,33,-1,33,-1,0,-24,0,-27,-2,-27,-3,-27
color_0033.png,V,556,129,552,218,663,219,776,215,32,0,33,0,33,0,33,-1,0,-24,0,-27,-1,-27,-3,-27
color_0034.png,V,559,130,554,218,665,220,779,216,31,0,34,0,32,0,32,0,0,-24,1,-26,-2,-26,-4,-26
color_0035.png,V,558,129,555,218,666,220,779,216,32,0,34,-1,33,-1,32,0,0,-25,1,-27,-2,-27,-4,-26
color_0036.png,V,560,129,556,218,667,220,780,217,31,0,34,-1,33,0,33,-1,0,-25,0,-27,-1,-27,-3,-27
color_0037.png,V,561,130,557,218,668,220,781,217,31,0,33,0,32,-1,32,0,0,-24,0,-26,-2,-27,-4,-26
color_0038.png,V,562,127,557,215,669,218,782,214,32,0,33,0,33,-1,33,-1,1,-25,0,-27,-1,-27,-3,-27
color_0039.png,V,561,128,557,216,668,219,781,216,31,0,34,0,33,0,33,0,0,-24,1,-26,-2,-26,-3,-27
color_0040.png,V,565,127,560,216,670,219,784,216,32,0,33,0,33,0,33,0,1,-24,0,-27,-1,-26,-3,-26
color_0041.png,V,566,126,561,216,672,218,786,216,32,0,33,0,33,-1,33,-1,0,-24,0,-27,-1,-28,-3,-27
color_0042.png,V,564,129,560,218,671,221,784,217,31,0,33,0,33,0,32,0,0,-24,0,-26,-2,-27,-4,-27
color_0043.png,V,564,130,560,219,671,221,784,217,32,0,33,-1,33,0,33,-1,1,-24,0,-27,-2,-27,-3,-27
color_0044.png,V,564,131,560,220,671,222,784,218,32,0,34,-1,33,0,32,0,0,-25,1,-27,-1,-26,-4,-26
color_0045.png,V,563,132,559,221,670,222,783,218,31,0,33,0,33,-1,32,-1,0,-24,0,-27,-2,-27,-4,-27
color_0046.png,V,564,132,560,221,671,222,784,218,32,0,33,0,33,0,32,-1,0,-24,0,-27,-2,-26,-4,-27
color_0047.png,V,565,133,561,222,672,223,785,219,32,0,33,0,33,-1,33,0,0,-24,0,-27,-1,-27,-3,-26
color_0048.png,V,565,132,561,221,672,223,785,219,32,0,33,-1,33,-1,33,0,0,-24,1,-27,-1,-27,-3,-26
color_0049.png,V,565,133,561,221,672,223,784,219,32,0,33,0,32,0,33,0,0,-24,0,-27,-2,-26,-3,-27
color_0050.png,V,566,133,562,222,673,223,785,220,31,-1,33,-1,32,-1,33,0,0,-24,0,-27,-2,-27,-3,-26
color_0051.png,V,565,133,561,221,672,223,785,219,31,0,33,0,33,-1,32,0,0,-24,0,-27,-2,-27,-4,-26
color_0052.png,V,564,133,561,221,671,223,784,219,31,-1,33,0,33,-1,33,-1,0,-25,0,-27,-1,-27,-3,-27
color_0053.png,V,564,136,561,224,671,226,784,221,31,0,33,0,33,-1,33,0,0,-24,0,-27,-2,-27,-3,-26
color_0054.png,V,566,135,562,224,672,225,785,221,31,0,33,0,33,-1,33,0,0,-24,1,-27,-2,-27,-3,-26
color_0055.png,V,566,135,563,223,673,225,786,221,32,0,33,-1,32,-1,33,-1,1,-24,0,-27,-2,-27,-3,-27
color_0056.png,V,567,137,563,225,674,227,786,223,31,0,33,0,32,0,33,0,0,-24,0,-26,-2,-27,-3,-26
color_0057.png,V,566,137,563,225,673,227,785,223,31,0,33,0,32,0,33,0,0,-24,0,-26,-2,-26,-3,-26
color_0058.png,V,566,137,563,224,673,227,785,223,31,0,33,0,33,0,32,0,0,-24,1,-26,-2,-26,-4,-26
color_0059.png,V,567,137,563,225,674,227,786,224,31,0,33,0,33,0,33,0,0,-25,0,-27,-2,-27,-3,-26
color_0060.png,V,567,138,563,226,673,227,786,224,31,0,33,0,33,0,32,0,0,-23,0,-26,-1,-26,-4,-26
color_0061.png,V,567,136,563,223,674,226,786,222,31,1,33,0,32,-1,33,0,0,-24,0,-27,-2,-27,-3,-27
color_0062.png,V,570,137,565,225,676,227,788,223,31,0,33,0,32,0,33,0,0,-24,0,-27,-2,-26,-3,-26
color_0063.png,V,571,137,567,225,677,227,789,223,31,0,33,0,33,0,32,0,0,-24,0,-26,-1,-26,-4,-26
color_0064.png,V,571,136,567,223,677,226,790,223,31,0,33,0,33,0,32,0,0,-24,0,-27,-2,-27,-3,-27
color_0065.png,V,571,138,567,226,678,228,790,225,32,0,33,0,33,-1,33,-1,1,-24,1,-26,-2,-27,-3,-27
color_0066.png,V,571,138,567,226,678,228,790,225,31,0,33,0,33,0,33,0,0,-24,0,-26,-1,-27,-3,-26
color_0067.png,V,571,137,567,225,678,227,790,224,31,0,33,0,33,0,32,0,0,-24,0,-27,-1,-27,-3,-26
color_0068.png,V,572,138,568,226,678,228,790,225,32,0,33,0,32,-1,33,-1,1,-24,1,-27,-2,-27,-3,-27
color_0069.png,V,573,138,569,225,679,228,792,225,31,1,33,0,33,0,32,0,0,-24,0,-26,-1,-26,-3,-26
color_0070.png,V,574,137,569,225,679,227,792,224,32,0,33,0,33,0,33,-1,1,-24,1,-27,-2,-26,-3,-27
