Name_of_image,statua,x1,y1,x2,y2,x3,y3,x4,y4,vxx1,vxy1,vxx2,vxy2,vxx3,vxy3,vxx4,vxy4,vyx1,vyy1,vyx2,vyy2,vyx3,vyy3,vyx4,vyy4
color_0000.png,V,359,83,358,142,433,141,508,135,21,-1,22,-1,22,-1,22,-1,-1,-17,-1,-18,-2,-18,-3,-18
color_0001.png,V,539,123,538,213,650,211,763,202,32,-2,34,-1,33,-1,32,-2,-1,-25,-1,-27,-2,-27,-4,-27
color_0002.png,V,541,123,540,212,652,211,765,203,32,-2,34,-1,33,-1,33,-2,-1,-25,0,-27,-2,-27,-4,-27
color_0003.png,V,542,124,541,213,653,212,766,204,32,-1,34,-1,33,-1,32,-2,-1,-25,0,-27,-2,-27,-4,-27
color_0004.png,V,545,126,543,216,654,215,768,208,32,0,34,-1,33,-1,33,-2,-1,-25,-1,-27,-2,-27,-4,-27
color_0005.png,V,548,129,546,218,657,218,770,211,32,0,33,-1,33,-1,32,-1,0,-24,-1,-27,-2,-27,-4,-27
color_0006.png,V,551,131,549,220,660,220,773,213,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-26
color_0007.png,V,554,130,551,219,662,219,775,213,32,0,33,-1,33,-1,32,-1,0,-24,0,-27,-2,-26,-4,-26
color_0008.png,V,555,129,552,218,663,218,776,213,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-26,-3,-26
color_0009.png,V,556,128,553,217,664,218,777,213,32,0,33,-1,33,0,33,0,0,-24,0,-27,-2,-26,-3,-26
color_0010.png,V,557,128,554,217,665,218,778,213,32,0,33,-1,33,-1,33,0,0,-24,0,-27,-2,-27,-3,-26
color_0011.png,V,558,128,555,217,666,218,779,214,32,0,33,-1,33,0,33,0,0,-24,0,-27,-2,-27,-3,-26
color_0012.png,V,560,128,556,217,667,218,780,214,31,0,33,-1,32,0,33,0,0,-24,0,-27,-2,-27,-3,-26
color_0013.png,V,561,129,558,217,669,218,782,214,32,-1,33,-1,33,0,33,0,0,-25,0,-27,-2,-27,-3,-26
color_0014.png,V,562,129,559,218,670,219,783,214,31,0,33,0,33,0,32,0,0,-24,0,-27,-2,-26,-4,-26
color_0015.png,V,563,130,560,218,670,219,783,214,32,0,33,0,33,0,32,-1,0,-24,0,-27,-2,-26,-4,-26
color_0016.png,V,563,130,559,218,670,219,783,214,31,0,33,0,33,0,33,-1,0,-24,0,-27,-2,-26,-3,-26
color_0017.png,V,562,130,558,219,669,220,782,215,31,0,33,0,33,-1,33,-1,0,-24,0,-27,-2,-27,-3,-26
