Donné image triangle

Auteur: 	 code_complet_seul_axe.py
Date: 		 2022-06-03 12:45:36.765223
Enregitrement d'image: 	 non

LEGENDE: 
V: 	 image trêtée avec sucsess
I: 	 image trêtée avec sucsess mais il y a eu des point parasite détecter donc il y a possibilité d'impresision
W: 	 il y a surment eu des problème de traitement

F: 	 Erreur sur le traitement d'image

V	Id = 0	color_0000.png : 		 Centre:	[[536, 124], [536, 214], [647, 212], [760, 202]]			 axe X: 	[[32, -2], [34, -1], [33, -1], [32, -2]]			 axe Y: 	[[-1, -25], [-1, -27], [-3, -27], [-5, -27]]
V	Id = 0	color_0001.png : 		 Centre:	[[540, 124], [539, 213], [651, 211], [764, 203]]			 axe X: 	[[32, -2], [33, -1], [33, -2], [33, -2]]			 axe Y: 	[[-1, -25], [-1, -27], [-2, -27], [-4, -27]]
V	Id = 0	color_0002.png : 		 Centre:	[[541, 122], [540, 211], [652, 209], [765, 202]]			 axe X: 	[[32, -2], [34, -1], [33, -1], [32, -1]]			 axe Y: 	[[-1, -25], [0, -27], [-2, -27], [-4, -27]]
V	Id = 0	color_0003.png : 		 Centre:	[[542, 123], [541, 213], [652, 212], [766, 204]]			 axe X: 	[[32, -1], [34, -1], [33, -1], [33, -2]]			 axe Y: 	[[-1, -25], [0, -27], [-2, -27], [-4, -27]]
V	Id = 0	color_0004.png : 		 Centre:	[[544, 126], [543, 215], [654, 215], [767, 207]]			 axe X: 	[[32, 0], [33, -1], [33, -1], [32, -2]]			 axe Y: 	[[-1, -25], [-1, -27], [-2, -27], [-4, -27]]
V	Id = 0	color_0005.png : 		 Centre:	[[548, 130], [546, 219], [657, 219], [770, 212]]			 axe X: 	[[32, 0], [34, -1], [33, -1], [33, -1]]			 axe Y: 	[[0, -24], [-1, -28], [-2, -27], [-4, -27]]
V	Id = 0	color_0006.png : 		 Centre:	[[552, 132], [549, 221], [660, 221], [773, 214]]			 axe X: 	[[31, 0], [33, -1], [33, -1], [32, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-4, -26]]
V	Id = 0	color_0007.png : 		 Centre:	[[554, 131], [551, 219], [662, 219], [775, 213]]			 axe X: 	[[32, 0], [33, -1], [33, -1], [33, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -26], [-3, -26]]
V	Id = 0	color_0008.png : 		 Centre:	[[555, 128], [552, 217], [664, 218], [776, 212]]			 axe X: 	[[32, -1], [34, -1], [33, 0], [32, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -26], [-4, -27]]
V	Id = 0	color_0009.png : 		 Centre:	[[556, 128], [553, 217], [664, 218], [777, 213]]			 axe X: 	[[32, 0], [33, -1], [33, -1], [33, 0]]			 axe Y: 	[[0, -24], [0, -27], [-1, -27], [-3, -26]]
V	Id = 0	color_0010.png : 		 Centre:	[[557, 128], [554, 217], [665, 218], [778, 214]]			 axe X: 	[[32, 0], [33, -1], [33, 0], [33, 0]]			 axe Y: 	[[0, -24], [0, -27], [-2, -26], [-3, -26]]
